Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDN60,OUT049,2850.331363
FDM09,OUT019,483.4994164
FDP46,OUT049,1571.735968
FDB50,OUT019,338.6516677
NCQ29,OUT049,3531.158751
FDP16,OUT027,5606.210831
FDX33,OUT018,2467.147794
FDP07,OUT010,515.6123206
FDN22,OUT046,3459.747255
FDF39,OUT049,3711.962695
FDS21,OUT017,930.587858
NCM42,OUT013,2593.560722
FDK50,OUT019,528.8159609
DRF13,OUT027,3609.541677
FDH35,OUT018,2117.759606
FDP60,OUT018,1496.467356
DRJ49,OUT027,2699.199361
NCT42,OUT019,2368.689563
FDE38,OUT049,2772.571876
FDI04,OUT049,3354.45773
NCH54,OUT045,2907.368968
FDT56,OUT049,865.1595175
DRD15,OUT018,3207.038083
FDV58,OUT013,2878.206222
FDP21,OUT049,3463.347257
FDH05,OUT013,3444.329408
FDR10,OUT027,4069.664966
NCP06,OUT045,2083.435111
FDF33,OUT049,1965.930258
DRK37,OUT013,3530.787368
DRH49,OUT045,1295.513225
FDT58,OUT013,2619.27928
FDD41,OUT018,1544.110741
FDP40,OUT018,1911.137078
FDM51,OUT027,323.1440907
FDO45,OUT010,210.6396507
FDW33,OUT010,268.3253919
FDY24,OUT045,203.6478797
FDB10,OUT010,549.4537044
FDM40,OUT035,2236.038658
NCI06,OUT017,439.603048
FDW12,OUT019,2609.585533
FDX48,OUT027,3978.958782
NCW05,OUT027,2636.300387
FDX27,OUT017,1538.720718
DRM37,OUT045,3933.534973
FDA38,OUT045,3631.130887
FDR36,OUT046,836.8401017
FDZ45,OUT046,3332.914549
FDG05,OUT017,2406.703917
FDK28,OUT013,4872.250997
FDV47,OUT045,1378.084926
FDN21,OUT045,2509.532945
FDP20,OUT027,1952.914892
FDI35,OUT045,3233.334056
DRY23,OUT013,575.3491745
FDA56,OUT017,1522.23931
FDB09,OUT013,3098.291578
NCO26,OUT027,2711.954567
FDQ49,OUT018,2406.022884
FDI52,OUT027,2765.043646
FDZ44,OUT027,2949.659912
FDZ09,OUT018,2687.521564
FDY03,OUT049,1980.106472
NCG42,OUT017,2256.581973
DRI13,OUT027,3665.789054
FDQ32,OUT013,2006.220128
FDW16,OUT035,1292.006632
FDU27,OUT046,933.8147407
FDR28,OUT010,388.2171215
FDQ49,OUT010,2406.022884
FDS37,OUT046,1827.212795
FDW26,OUT018,3355.535502
FDX12,OUT018,2988.376853
NCP06,OUT013,2083.435111
FDW45,OUT010,348.5418278
NCN30,OUT049,1487.766568
FDN24,OUT049,1021.649225
NCL41,OUT027,1519.350848
FDR02,OUT019,331.4704236
FDD09,OUT010,2889.321214
FDS33,OUT010,200.5399977
FDU22,OUT045,1973.693048
FDI53,OUT013,2188.724678
DRH01,OUT049,2892.378037
FDX32,OUT013,2635.547059
NCP30,OUT018,607.9373812
FDB60,OUT045,3159.101948
FDB14,OUT049,1539.68537
NCP02,OUT035,897.4947677
FDJ10,OUT017,274.976028
FDG34,OUT046,1755.04097
NCB18,OUT017,1570.673533
FDM16,OUT049,1189.807168
FDW25,OUT018,1334.823303
FDB35,OUT010,2360.732439
DRN11,OUT013,2258.848281
FDF41,OUT019,4195.071688
FDH16,OUT045,1361.47478
NCQ50,OUT018,3102.014579
DRH23,OUT018,1986.242862
DRJ37,OUT013,2386.461437
DRJ24,OUT027,4517.624852
FDY16,OUT035,3050.128145
FDQ27,OUT045,1945.970986
FDZ33,OUT045,2016.364726
FDF29,OUT045,1980.62503
FDA08,OUT049,3251.143492
FDG31,OUT046,1203.239121
FDE34,OUT019,542.63891
NCR30,OUT027,2061.572077
FDV33,OUT035,4192.081222
DRZ24,OUT018,2010.162823
NCL54,OUT035,3062.784604
FDR12,OUT049,2988.741633
NCC54,OUT046,745.3292597
DRN59,OUT013,837.3188088
FDX50,OUT019,268.5982125
FDV31,OUT027,4655.3309
NCA29,OUT027,4405.345011
FDW60,OUT049,2696.424093
FDX08,OUT017,2775.892004
DRD49,OUT013,3568.141213
FDD33,OUT046,3490.424279
FDW35,OUT013,808.0878298
FDJ36,OUT017,1774.562176
FDV51,OUT035,3315.229407
FDW36,OUT046,1704.406534
FDH35,OUT046,2117.759606
NCS30,OUT027,2847.859984
FDN49,OUT017,705.0048025
FDL08,OUT018,2993.15322
FDI09,OUT013,3503.072781
FDP19,OUT018,1665.94023
FDU21,OUT010,118.2992675
NCP41,OUT045,1686.669676
FDY10,OUT013,1953.399211
FDP12,OUT018,1536.563929
NCN26,OUT049,1988.661487
FDK44,OUT013,2365.906128
FDC28,OUT049,238.3383928
FDJ41,OUT027,5528.799725
NCT29,OUT035,1873.735956
NCH42,OUT019,4114.184793
FDU60,OUT018,2598.308751
FDS02,OUT045,3284.10649
FDC51,OUT046,2024.532329
FDU03,OUT013,3284.33638
FDX39,OUT045,3740.704647
NCY05,OUT010,133.7566667
NCL06,OUT027,3940.440893
FDD32,OUT035,179.3383161
NCN41,OUT045,2090.622356
NCX53,OUT049,2394.919111
FDU57,OUT019,387.0700717
FDQ23,OUT046,2000.853874
FDQ52,OUT045,4740.798404
FDC14,OUT045,553.3577526
FDY09,OUT035,3553.528752
FDQ28,OUT045,2515.872113
FDV25,OUT046,4330.759996
FDJ07,OUT035,1744.797145
DRB25,OUT049,1713.372132
FDK52,OUT019,4730.38288
FDY52,OUT027,1733.334083
FDB28,OUT046,3456.463658
FDT36,OUT035,703.9339778
FDV25,OUT017,4330.759996
NCN07,OUT027,2168.59476
FDC57,OUT017,3170.051036
FDQ03,OUT018,5411.810732
FDU23,OUT017,3033.112756
NCX41,OUT035,3619.455917
NCD06,OUT035,848.8826641
FDW08,OUT045,1564.695604
NCU29,OUT017,2487.787098
NCE06,OUT013,2608.980741
FDV52,OUT010,255.2508509
FDB02,OUT017,3011.779646
NCR18,OUT045,714.9047881
FDK16,OUT049,1471.830363
NCQ29,OUT010,3531.158751
FDZ01,OUT019,294.1884921
FDW27,OUT035,2444.101328
FDD17,OUT018,3584.87445
FDW39,OUT013,2734.632747
DRH59,OUT045,1068.743622
FDS52,OUT013,1519.860357
FDU40,OUT027,5084.637672
NCF54,OUT013,2583.492809
FDH46,OUT045,1618.563238
NCP14,OUT049,260.3526752
FDH50,OUT049,3263.022121
DRF15,OUT010,333.7251956
FDV27,OUT027,2394.267996
NCJ06,OUT049,2200.379656
FDN02,OUT018,2947.437534
FDQ51,OUT049,906.4101967
FDQ07,OUT017,528.7320793
FDS45,OUT049,1857.98222
NCJ06,OUT045,2200.379656
FDD36,OUT035,2013.863261
FDY25,OUT045,3619.651533
FDU52,OUT046,2595.593339
DRK47,OUT017,3509.799245
NCL30,OUT017,2013.730413
FDN22,OUT035,3459.747255
NCF30,OUT027,3074.142921
FDK03,OUT035,4492.348381
FDT45,OUT017,929.2947921
NCC54,OUT027,745.3292597
FDP08,OUT018,2966.356666
FDU44,OUT046,2387.98238
DRG39,OUT035,816.2643068
FDU32,OUT049,1890.832472
FDY27,OUT049,2160.069561
NCP54,OUT013,2050.41928
NCZ41,OUT049,2061.232576
DRL49,OUT013,2199.083062
FDI05,OUT018,1145.852166
FDY56,OUT045,5147.342913
DRC13,OUT013,1957.679803
NCV29,OUT017,2451.694043
FDR24,OUT049,1285.006694
FDZ34,OUT018,2738.780507
FDP37,OUT035,2069.672492
FDX08,OUT027,2775.892004
FDS57,OUT045,2024.61086
NCG18,OUT049,1752.659465
FDK25,OUT018,2867.125982
FDH53,OUT049,1458.824536
DRI59,OUT018,3891.193273
FDA52,OUT046,2683.37725
FDT20,OUT010,150.788988
FDE36,OUT019,521.722559
FDI24,OUT017,2992.570665
FDB28,OUT018,3456.463658
FDV11,OUT017,2564.286052
FDP01,OUT046,2281.017521
FDD34,OUT027,3886.948173
FDJ50,OUT027,1790.984174
FDZ44,OUT013,2949.659912
DRO59,OUT035,1454.789657
DRB48,OUT045,701.6231165
FDR21,OUT018,2626.425301
NCE42,OUT010,2703.069128
FDO23,OUT046,1554.649484
NCE30,OUT018,3078.892822
FDQ22,OUT035,630.1181843
FDY01,OUT045,1883.502353
FDS08,OUT017,2483.968307
FDG28,OUT018,3703.078057
FDQ51,OUT018,906.4101967
FDB05,OUT017,4709.399964
FDO56,OUT049,1990.724494
FDE02,OUT018,1758.470612
FDN45,OUT017,587.2876142
FDS09,OUT013,930.7346895
NCA54,OUT018,2540.610385
FDP09,OUT010,3612.996604
FDC53,OUT045,1737.33427
NCM55,OUT017,4191.869678
FDL09,OUT018,433.9690255
FDA11,OUT019,323.6960267
FDA50,OUT045,1597.383892
FDC23,OUT017,3794.52482
FDE22,OUT049,2518.961498
FDD23,OUT046,3433.654127
NCA29,OUT049,4405.345011
FDK38,OUT046,2358.312574
DRC13,OUT046,1957.679803
NCP43,OUT049,4117.577868
FDX28,OUT049,1460.179958
FDF08,OUT049,1414.646307
FDZ33,OUT046,2016.364726
FDD10,OUT049,2232.673621
FDO58,OUT017,2698.678588
FDI50,OUT017,714.7475822
FDO58,OUT045,2698.678588
FDX08,OUT013,2775.892004
NCK17,OUT010,137.3060463
FDF39,OUT035,3711.962695
FDU45,OUT010,2251.090782
NCJ18,OUT018,1722.690474
DRC27,OUT019,3988.493631
DRC25,OUT035,1554.707725
FDU59,OUT035,2319.545739
FDU28,OUT035,3144.904472
NCP30,OUT046,607.9373812
FDB39,OUT018,872.4045813
FDE41,OUT013,1445.674047
DRH11,OUT010,954.9022718
FDA58,OUT045,3559.569103
FDU50,OUT046,1678.560537
FDM34,OUT013,2183.565389
FDM44,OUT027,1544.198091
FDR39,OUT045,4732.666765
FDM25,OUT045,2691.860543
FDQ49,OUT049,2406.022884
DRH25,OUT018,826.4929669
FDM09,OUT027,483.4994164
FDL44,OUT019,496.2473483
NCR42,OUT018,160.0485385
DRL59,OUT046,824.4246827
FDX43,OUT013,2626.237132
DRK47,OUT010,3509.799245
FDU48,OUT018,1613.028537
FDY12,OUT045,829.2826243
NCN43,OUT018,1736.548289
NCM55,OUT018,4191.869678
FDQ21,OUT027,2847.914864
FDX13,OUT035,667.6457939
NCK30,OUT027,5095.805776
FDG20,OUT049,2342.267036
DRG27,OUT017,715.182383
FDY14,OUT018,3930.727121
FDP59,OUT035,1542.367344
FDU60,OUT017,2598.308751
NCC18,OUT019,576.5910962
DRJ39,OUT017,4339.259526
FDS07,OUT049,3010.804953
FDM08,OUT027,5148.702026
FDP51,OUT045,1875.313327
FDU16,OUT035,1354.408057
FDH12,OUT013,1672.739517
DRE48,OUT010,523.61596
NCL42,OUT027,3892.939226
